source,destination,mode,distance,time_of_day,weather,traffic_level,travel_time
A,C,air,23,0,sunny,high,3.29
E,B,rail,13,0,rainy,low,12.19
D,C,rail,6,18,foggy,high,10.71
A,C,rail,19,18,rainy,high,25.45
A,C,air,19,0,foggy,medium,3.52
E,D,road,22,18,sunny,high,47.14
B,A,road,46,12,rainy,low,86.25
A,D,air,11,0,foggy,low,1.83
B,E,road,42,0,sunny,high,90.0
B,D,rail,31,0,foggy,high,55.36
E,A,air,17,0,sunny,low,1.7
C,E,rail,30,18,rainy,high,40.18
B,D,road,47,6,foggy,high,167.86
E,D,road,17,18,rainy,low,31.88
D,B,air,47,6,rainy,medium,6.53
C,A,road,11,18,rainy,medium,22.92
B,E,road,31,12,rainy,medium,64.58
A,B,rail,22,18,sunny,low,16.5
C,D,air,29,18,rainy,low,3.62
C,D,road,12,12,sunny,low,18.0
D,E,road,31,6,foggy,low,77.5
D,A,road,50,6,rainy,low,93.75
D,A,air,30,0,sunny,high,4.29
A,D,air,25,18,rainy,medium,3.47
C,B,rail,5,18,foggy,high,8.93
D,E,air,29,6,sunny,low,2.9
E,B,road,41,0,foggy,medium,113.89
D,C,road,9,0,sunny,high,19.29
B,D,air,27,0,rainy,medium,3.75
B,C,rail,22,12,rainy,high,29.46
B,C,air,9,6,foggy,low,1.5
E,A,rail,38,18,rainy,medium,39.58
C,E,rail,43,6,sunny,low,32.25
B,E,rail,35,18,sunny,high,37.5
B,A,road,6,6,sunny,high,12.86
D,C,air,10,6,sunny,high,1.43
C,E,road,45,18,foggy,high,160.71
A,E,air,41,6,sunny,high,5.86
B,D,air,41,6,rainy,medium,5.69
E,C,road,6,6,foggy,low,15.0
B,A,rail,16,6,rainy,high,21.43
A,E,rail,43,0,foggy,low,53.75
D,A,road,34,6,foggy,low,85.0
D,E,road,20,6,foggy,low,50.0
B,A,air,21,0,rainy,medium,2.92
C,E,air,28,0,foggy,medium,5.19
E,A,road,38,12,sunny,low,57.0
D,B,road,31,6,foggy,low,77.5
E,A,rail,6,12,foggy,low,7.5
C,D,rail,48,12,rainy,high,64.29
A,D,road,23,18,foggy,high,82.14
D,B,rail,11,6,foggy,low,13.75
E,C,rail,31,6,foggy,high,55.36
E,A,road,21,18,rainy,high,56.25
A,C,air,23,6,foggy,medium,4.26
C,D,road,45,6,sunny,high,96.43
C,D,air,14,6,rainy,high,2.5
C,B,rail,14,12,foggy,low,17.5
A,D,air,17,12,rainy,medium,2.36
A,C,air,28,6,rainy,low,3.5
C,E,rail,39,12,foggy,high,69.64
C,D,rail,28,18,sunny,high,30.0
D,B,air,43,12,sunny,low,4.3
B,A,air,25,18,sunny,low,2.5
B,C,air,37,0,foggy,low,6.17
D,E,rail,5,12,sunny,high,5.36
C,D,rail,12,0,foggy,low,15.0
C,B,air,6,0,sunny,high,0.86
C,A,road,39,12,sunny,high,83.57
E,D,air,41,0,rainy,low,5.12
A,D,road,19,12,foggy,high,67.86
B,D,road,23,0,sunny,low,34.5
B,E,rail,29,6,rainy,low,27.19
E,D,rail,28,0,foggy,medium,38.89
A,C,air,19,0,sunny,low,1.9
A,C,air,35,12,sunny,low,3.5
D,C,air,42,18,foggy,low,7.0
C,A,road,31,0,sunny,low,46.5
A,B,rail,49,12,foggy,medium,68.06
D,E,road,23,18,foggy,low,57.5
D,C,road,32,6,sunny,high,68.57
D,B,air,48,0,foggy,high,11.43
B,D,air,10,12,rainy,low,1.25
E,B,rail,30,6,rainy,low,28.12
E,A,road,48,6,foggy,medium,133.33
D,A,rail,20,6,sunny,low,15.0
C,A,rail,32,0,rainy,high,42.86
C,B,air,48,18,rainy,medium,6.67
C,E,rail,46,0,foggy,high,82.14
A,C,rail,5,0,foggy,high,8.93
C,E,road,41,6,foggy,low,102.5
D,A,road,26,6,foggy,low,65.0
A,C,rail,17,6,sunny,high,18.21
C,D,air,19,12,rainy,low,2.38
B,D,air,17,0,sunny,high,2.43
C,B,road,6,6,foggy,high,21.43
A,D,air,10,12,rainy,medium,1.39
A,B,air,16,18,sunny,medium,1.78
B,E,rail,21,0,sunny,low,15.75
E,C,air,9,18,sunny,medium,1.0
